t,ax,ay,az,gx,gy,gz
12446, 0.30, 0.06, 0.97, 3.29, 11.76, -5.18
12447, 0.31, 0.05, 0.97, 1.61, 11.69, -8.19
12448, 0.33, 0.08, 0.99, 0.49, 18.20, -8.75
12449, 0.31, 0.06, 1.00, 4.83, 17.22, -7.28
12450, 0.26, 0.06, 0.95, 6.51, 13.79, -2.94
12451, 0.25, 0.12, 0.98, -0.77, 19.46, 5.32
12452, 0.19, 0.12, 0.97, 0.84, -0.91, 6.16
12453, 0.24, 0.12, 0.97, -6.23, -0.42, 1.12
12454, 0.28, 0.12, 0.99, -4.97, -2.80, -1.26
12455, 0.29, 0.11, 0.99, -2.24, -0.21, -2.03
12456, 0.27, 0.09, 0.98, -1.12, -0.14, -1.54
12457, 0.26, 0.07, 0.98, -0.70, -3.08, -0.49
12458, 0.26, 0.10, 0.97, -3.50, -3.50, 2.24
12459, 0.25, 0.08, 0.98, -2.73, -10.71, 3.08
12460, 0.25, 0.05, 0.99, -1.40, -15.40, 5.39
12461, 0.30, 0.08, 0.98, -2.59, -10.71, 6.65
12462, 0.31, 0.06, 0.98, -1.47, -7.00, 3.99
12463, 0.29, 0.05, 0.98, 3.15, -7.21, 4.34
12464, 0.28, 0.06, 0.97, 4.13, -6.79, 5.67
12465, 0.29, 0.08, 0.96, 5.04, -8.54, 6.65
12466, 0.30, 0.08, 0.97, 3.71, -11.34, 5.46
12467, 0.32, 0.08, 0.98, 3.57, -13.30, 3.01
12468, 0.33, 0.06, 0.96, 5.25, -13.16, 0.21
12469, 0.34, 0.06, 0.96, 6.30, -8.96, 0.28
12470, 0.33, 0.07, 0.98, 6.02, -6.72, 0.91
12471, 0.35, 0.14, 0.98, -0.63, 1.26, -0.07
12472, 0.35, 0.10, 0.99, -4.76, 3.78, -7.07
12473, 0.34, 0.04, 0.99, -3.57, 8.19, -12.67
12474, 0.33, 0.06, 0.98, -8.26, 18.20, -11.62
12475, 0.32, 0.11, 0.96, -10.57, 22.05, -4.55
12476, 0.23, 0.04, 0.99, -5.74, 7.77, -2.52
12477, 0.29, 0.07, 0.99, -5.81, 7.77, -3.57
12478, 0.31, 0.09, 0.99, -3.15, 16.24, 0.49
12479, 0.26, 0.10, 0.98, 0.21, 11.62, 5.74
12480, 0.21, 0.09, 0.97, -3.50, 6.51, 7.56
12481, 0.19, 0.10, 0.98, -4.27, -6.58, 7.49
12482, 0.22, 0.11, 0.98, -8.54, -9.94, 5.88
12483, 0.26, 0.05, 0.98, -4.62, -19.18, 0.21
12484, 0.29, 0.03, 0.97, -5.11, -14.49, -0.14
12485, 0.29, 0.06, 0.98, -3.78, -10.22, 2.73
12486, 0.29, 0.06, 0.97, -1.26, -14.28, 1.19
12487, 0.32, 0.06, 0.98, -1.40, -12.32, -0.14
12488, 0.32, 0.04, 0.97, 2.24, -10.01, 0.91
12489, 0.31, 0.04, 0.97, 4.62, -12.46, 1.33
12490, 0.34, 0.05, 0.98, 6.30, -10.85, -1.68
12491, 0.36, 0.06, 0.97, 1.68, -1.47, -3.50
12492, 0.33, 0.05, 0.98, 3.50, 1.68, -2.31
12493, 0.32, 0.06, 0.97, 3.92, 5.04, 0.14
12494, 0.31, 0.07, 0.98, -0.14, 6.58, 2.73
12495, 0.30, 0.05, 0.98, -1.75, 5.74, 2.03
12496, 0.32, 0.06, 0.99, -2.31, 9.31, 2.52
12497, 0.30, 0.06, 1.00, -1.82, 13.72, 3.15
12498, 0.24, 0.05, 0.97, -1.05, 3.78, 6.16
12499, 0.27, 0.08, 0.97, -7.14, 6.23, 5.74
12500, 0.25, 0.09, 0.99, -10.01, -0.42, 6.86
12501, 0.25, 0.07, 0.96, -13.02, -5.81, 5.88
12502, 0.28, 0.05, 0.98, -13.44, -8.61, 7.21
12503, 0.29, 0.04, 0.99, -9.52, -7.35, 8.05
12504, 0.30, 0.05, 0.99, -4.41, -7.77, 6.58
12505, 0.30, 0.06, 0.98, -1.12, -3.85, 5.04
12506, 0.30, 0.04, 0.98, -0.49, -5.46, 0.14
12507, 0.28, 0.01, 0.97, -0.63, -6.09, -1.19
12508, 0.28, -0.01, 0.98, 0.98, -9.31, -1.47
12509, 0.32, 0.05, 0.97, -3.08, -0.63, 3.57
12510, 0.29, 0.02, 0.98, -1.82, -6.44, 6.58
12511, 0.29, 0.02, 0.98, -0.21, -10.22, 4.62
12512, 0.33, 0.03, 0.97, -1.05, -7.21, 0.77
12513, 0.33, 0.04, 0.96, 1.89, -4.97, 1.05
12514, 0.31, 0.02, 0.98, 3.71, -7.63, 0.49
12515, 0.30, 0.01, 0.97, 4.34, -9.52, -0.63
12516, 0.31, 0.01, 0.97, 2.80, -9.52, -0.70
12517, 0.35, 0.03, 0.98, 2.38, -4.90, -3.64
12518, 0.37, 0.05, 0.99, 4.90, -1.82, -3.36
